sentence	label
4 . Can eating garlic help prevent infection with the new coronavirus ? #COVID19Malaysia HTTPURL 5 . Can regularly rinsing your nose with saline help prevent infection with the new coronavirus ? HTTPURL 6 . Do vaccines against pneumonia protect you against the new coronavirus ? HTTPURL 7 . Can spraying alcohol or chlorine all over your body kill the new coronavirus ? #Chamber HTTPURL 8 . How effective are thermal scanners in detecting people infected with the new coronavirus ? HTTPURL 9 . Can an ultraviolet disinfection lamp kill the new coronavirus ? HTTPURL 10 . Are hand dryers effective in killing the new coronavirus ? HTTPURL 11 . The new coronavirus CANNOT be transmitted through mosquito bites . HTTPURL 12 . Taking a hot bath does not prevent the new coronavirus disease HTTPURL 13 . Cold weather and snow CANNOT kill the new coronavirus . HTTPURL 14 . COVID - 19 virus can be transmitted in areas with hot and humid climates HTTPURL 15 . Drinking alcohol does not protect you against COVID - 19 and can be dangerous HTTPURL 16 . Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease ( COVID - 19 ) or any other lung disease . HTTPURL 17 . You can recover from the coronavirus disease ( COVID - 19 ) . Catching the new coronavirus DOES NOT mean you will have it for life . HTTPURL 18 . Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease ( COVID - 19 ) HTTPURL 19 . 5G mobile networks DO NOT spread COVID - 19 HTTPURL	0
"French police chief killed himself after #CharlieHebdo attack HTTPURL HTTPURL @USER How very sad . @USER @USER The trauma he must have faced . Very sad . “ @USER : French police chief killed himself after #CharlieHebdo attack HTTPURL HTTPURL ” #RIP . Terrible ! @USER @USER it stinkS ! ! ! These whole affaire ! ! ! @USER @USER such a sad loss :pensive_face: may he now RIP @USER @USER so horrible . FWIW , his 2nd in command comitted suicide in 2013 , & he found the body . So , there 's that . :P @USER @USER @USER @USER WHAT YA WANNA BET HE WAS KILLED ? ? ? @USER , only those cartoonistS are responsible , those were sent to hell , by humiliating norms of Islam and blasphemy of PBUH OF ISLAM . @USER @USER why are you reporting this three days after it happened ? @USER @USER They killed him how can he kill himself ? was shot in the forehead ! so taht he doesnt get who 's behind it @USER @USER took it kinda personal I guess , sad Ohh boy , Here v go Pakistanis already calling it false flag by Eivil Jews MT "" @USER :@ Telegraph : #CharlieHebdo HTTPURL "" “ @USER : French police chief killed himself after #CharlieHebdo attack HTTPURL HTTPURL ” :flushed_face: wtf ? @USER And tasked with investigating Charlie Hebdo shooting . But ' obviously ' just a strange coincidence . Not like he discovered anything @USER @USER Do n't worry ... it 's all another weird coincidence . No conspiracy here . @USER horrible ! ! ! Needless . Did Dubya kill himself after 9/11 or just go brain-dead ... @USER Why ? @USER we will be very satisfied if #NawazSharif resigns . Here they hide the reports which blames them . @USER @USER . Nothing to see here . Move along . Devastating . RT “ @USER : French police chief killed himself after #CharlieHebdo attack HTTPURL HTTPURL ” @USER oh no ... @USER @USER @USER Yeh sure he did ..."	1
Coronavirus disease ( COVID - 19 ) advice for the public : :eight-spoked_asterisk: Should I wear a mask to protect myself ? :eight-spoked_asterisk: How to put on , use , take off and dispose of a mask ? :eight-spoked_asterisk: When and how to use masks ? HTTPURL HTTPURL Infection control for suspected or confirmed COVID - 19 cases :eight-spoked_asterisk: WHO recommendations : HTTPURL :eight-spoked_asterisk: CDC recommendations HTTPURL :radio_button: personal protective equipment ( PPE ) HTTPURL :radio_button: N95 Respirators and Surgical Masks ( Face Masks ) HTTPURL :radio_button: Surgical Mask vs N95 Respirator HTTPURL HTTPURL	0
"Ottawa police confirm that there were multiple suspects in the shooting , saying there were "" possibly 3 "" shooters . HTTPURL @USER Killers go berserk when cornered . Henceforth , no lapses in security should be there . @USER @USER terrorists in ottawa @USER hahaha , you said far more than you think @USER @USER I hope this is n't just a prelude to a bigger attack . @USER when Canadians of all people start shooting , well , "" c'est la fin du monde , non ? """	0
if the primary focus of a government is n't to alleviate suffering / death and promote happiness / wellbeing for its citizens , why do we need it to begin with ?	0
10 . Are hand dryers effective in killing the new coronavirus ? HTTPURL 15 . Drinking alcohol does not protect you against COVID - 19 and can be dangerous HTTPURL 16 . Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease ( COVID - 19 ) or any other lung disease . HTTPURL 17 . You can recover from the coronavirus disease ( COVID - 19 ) . Catching the new coronavirus DOES NOT mean you will have it for life . HTTPURL 18 . Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease ( COVID - 19 ) HTTPURL 19 . 5G mobile networks DO NOT spread COVID - 19 HTTPURL	0
Does the new coronavirus affect older people , or are younger people also susceptible ? #Covid_19 #health HTTPURL Do vaccines against pneumonia protect you against the new coronavirus ? #Covid_19 #Corona HTTPURL HTTPURL Are there any specific medicines to prevent or treat the new coronavirus ? #Covid_19 #coronavirus HTTPURL	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Q : Are antibiotics effective in preventing and treating the new #coronavirus ( 2019 - nCoV ) ? A : No , antibiotics do not work against viruses , only bacteria . The 2019 - nC0V is a virus and , therefore , antibiotics should not be used as a means of prevention or treatment . HTTPURL @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Q : Chinese doctors said , we will use HIV drug to treat this virus firstly ! does this useful ? or just trial and error in Chinese treatment methodology ? HTTPURL	0
A memorial for #MH17 victims forms near the Netherlands embassy in Kiev : HTTPURL ( Roman Pilipey / EPA ) HTTPURL @USER Putin thinks he was the target , and the Ukies shot down the wrong plane . #MSNBC @USER @USER #GE $ GE @USER RIP @USER Путин убыл её мозг ? @USER really sad tragic loss @USER @USER U folks did n't deserve this level of tragedy . I 'd like 2 offer my condolences to families of the victims	1
Prime Minister Tony Abbott 's statement on the #SydneySiege . Updates : HTTPURL HTTPURL @USER @USER @USER Prime ministers should not have to comment on everything . “ @USER : Prime Minister Tony Abbott 's statement on the #SydneySiege . Updates : HTTPURL HTTPURL ”	0
